GEOGROUP,POPULATION,Region,Country,UTM-X (huso 30),UTM-Y (huso 30),ALTITUDE,Region,Country,UTM-X (huso 30),UTM-Y (huso 30),ALTITUDE,ID_new,A6F03,,3pet,,NZPR1078,,ctg4363,,rptest1,,2669,,epi5,,gPp14,,epi3,
,Hourtin,Landas,FR,645342.44,5004981.38,26,Landas,FR,645342.44,5004981.38,26,HOU1,262,266,0,0,349,357,118,120,223,232,161,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU2,266,266,0,0,347,349,116,120,226,226,165,165,216,220,220,223,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU3,258,266,0,0,347,349,116,122,223,226,165,165,216,216,220,220,249,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU4,262,264,0,0,357,357,116,120,226,232,165,165,220,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU5,262,264,0,0,349,357,116,120,223,226,165,165,202,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU6,262,262,0,0,0,0,116,120,223,229,165,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU7,262,266,0,0,347,349,114,120,223,232,165,165,202,216,217,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU8,262,264,0,0,349,357,116,120,229,229,165,165,214,216,217,220,247,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU9,262,262,0,0,349,349,114,120,226,229,165,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU10,264,264,0,0,349,357,116,120,226,226,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU11,262,266,0,0,357,357,116,120,223,226,165,165,202,216,0,0,0,0
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU12,262,262,0,0,349,357,116,116,223,229,163,165,216,216,220,220,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU13,262,266,0,0,347,357,116,120,223,226,165,165,216,216,0,0,0,0
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU14,258,258,0,0,347,349,120,120,223,223,165,165,202,202,217,220,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU15,266,266,0,0,347,349,116,116,223,232,165,165,216,216,217,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU16,260,266,0,0,347,349,116,120,223,229,165,165,216,216,220,220,251,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU17,262,262,0,0,347,347,116,120,223,232,165,165,214,220,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU18,266,266,0,0,347,349,114,120,223,229,163,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU19,266,266,0,0,347,357,116,120,226,232,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU20,266,266,0,0,349,357,114,116,223,232,163,165,216,216,220,220,249,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU21,262,266,0,0,347,349,116,116,223,232,163,165,216,216,220,220,239,239
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU22,262,266,0,0,0,0,114,116,226,229,161,165,216,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU23,266,270,0,0,347,349,114,120,0,0,165,165,202,220,220,220,251,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU24,258,266,0,0,347,357,116,120,229,232,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU25,262,266,0,0,347,349,120,120,223,226,165,165,202,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU26,266,270,0,0,347,349,114,116,223,232,163,165,216,220,217,220,249,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU27,262,262,0,0,347,347,114,116,229,229,165,165,216,216,217,217,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU28,266,266,0,0,349,357,114,116,226,232,165,165,216,220,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU29,262,266,0,0,349,357,116,120,229,229,165,165,216,216,217,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,Landas,FR,649048.003,5046135.443,,VER1,258,262,0,0,347,347,116,120,223,229,165,165,202,216,0,0,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER2,266,266,0,0,349,349,116,120,223,226,165,165,202,202,220,220,249,257
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER3,270,270,0,0,347,349,116,120,223,232,165,165,216,216,220,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER4,266,266,180,180,347,357,114,116,226,226,163,165,216,216,217,220,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER5,266,266,0,0,347,357,114,116,226,226,163,165,216,216,217,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER6,262,264,166,186,347,357,116,116,229,229,165,165,202,216,220,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER7,262,262,166,184,349,357,114,116,223,232,165,165,216,216,220,220,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER8,266,266,172,182,347,347,118,120,229,229,163,165,216,216,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER9,266,266,166,186,0,0,116,120,0,0,165,165,220,220,220,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER10,266,266,174,184,357,357,120,120,232,232,165,165,216,220,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER11,258,262,172,184,347,349,116,116,223,226,165,175,202,216,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER12,264,266,176,176,347,349,116,120,223,232,165,165,216,216,217,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER13,266,266,172,186,349,357,120,120,226,232,165,165,216,216,220,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER14,262,266,166,184,0,0,116,116,221,226,165,165,216,216,220,220,251,253
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER15,262,270,176,184,349,357,116,122,232,232,163,165,216,216,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER16,262,266,174,184,347,357,116,120,223,223,165,167,216,216,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER17,262,266,166,170,347,349,114,120,229,229,165,165,216,216,220,220,247,249
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER18,262,262,0,0,347,347,116,120,0,0,161,165,216,216,220,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER19,264,266,172,186,347,357,114,120,223,229,165,175,202,216,220,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER20,266,266,176,184,349,357,120,120,223,226,165,165,216,216,217,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER21,262,266,172,172,347,357,116,116,223,229,165,165,216,216,220,229,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER22,262,270,172,184,347,349,116,116,226,229,165,165,216,220,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER23,266,270,166,182,347,357,116,116,229,229,165,165,216,216,220,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER24,262,266,170,172,347,349,116,116,223,232,163,165,216,216,220,220,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER25,262,262,188,188,347,347,120,120,232,232,165,165,216,216,220,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER26,262,266,174,178,347,349,120,120,223,232,163,165,216,216,217,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER27,266,266,172,172,357,357,114,116,226,226,163,165,216,216,220,220,251,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER28,266,266,174,180,347,357,116,120,223,229,165,179,216,216,0,0,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER29,266,270,172,172,347,357,120,120,223,229,165,165,202,216,217,220,249,251
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER30,262,266,172,184,347,357,116,120,223,226,165,165,202,216,217,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,37,Landas,FR,635742.073,4888264.143,37,MIM1,262,266,172,188,347,357,114,122,226,229,163,165,202,216,220,220,249,257
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM2,262,262,172,172,347,357,116,116,226,226,165,165,216,216,217,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM4,266,266,166,178,347,349,116,116,0,0,165,165,216,216,220,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM5,266,266,170,182,347,349,116,120,226,229,165,179,216,216,217,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM6,0,0,0,0,347,349,114,120,226,229,163,165,216,216,217,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM8,264,266,172,176,349,349,116,116,226,229,163,165,216,216,220,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM9,262,262,172,176,347,349,120,120,0,0,165,165,216,216,217,220,249,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM10,260,260,172,172,349,349,116,116,229,232,165,165,216,216,220,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM11,266,266,172,184,347,357,120,120,226,226,165,165,220,220,217,220,249,249
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM13,0,0,0,0,349,357,116,120,229,232,165,165,216,216,217,220,0,0
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM18,264,266,172,172,347,349,120,120,226,229,163,165,216,216,217,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM19,266,266,170,170,347,357,120,120,226,229,165,165,202,216,220,220,249,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM20,262,262,0,0,0,0,116,120,0,0,163,165,216,216,220,220,0,0
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM21,262,266,180,186,347,349,114,120,223,223,165,165,216,216,220,220,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM25,266,266,184,190,347,347,114,116,223,223,165,165,216,220,217,220,249,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM26,258,266,184,184,349,357,114,116,226,232,165,165,202,202,217,220,249,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM28,0,0,172,172,357,357,120,120,229,229,165,175,216,216,217,217,251,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM29,0,0,0,0,357,357,114,120,226,232,163,165,202,216,220,220,249,251
,Mimizan,Landas,FR,635742.073,4888264.143,,,,,,,MIM30,0,0,172,172,357,357,114,120,226,232,163,165,202,216,220,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,FR,589624.789,5157690.461,,OLO1,262,262,166,166,357,357,114,116,223,232,165,175,202,216,220,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO2,266,266,180,186,347,357,114,114,223,223,165,165,216,216,217,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO3,262,266,182,188,349,357,114,116,226,226,165,165,216,216,220,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO4,266,266,174,184,349,357,114,116,226,232,165,165,216,216,217,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO5,262,262,166,172,349,357,116,120,226,229,165,165,216,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO6,266,266,166,172,349,349,114,116,229,229,165,165,216,220,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO7,262,266,178,186,357,357,116,120,229,232,165,165,202,216,217,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO8,262,266,172,174,347,349,116,116,226,232,165,165,216,220,217,220,0,0
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO9,266,270,174,184,347,357,114,120,229,232,165,165,216,220,217,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO10,266,266,182,184,357,357,116,120,223,223,165,179,202,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO11,266,266,176,176,347,357,114,120,223,226,165,165,0,0,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO12,262,266,166,184,347,357,114,120,223,232,165,165,216,216,217,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO14,266,266,166,186,347,357,114,114,223,229,161,165,216,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO15,258,266,166,174,347,349,116,120,232,232,165,165,216,216,217,220,247,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO16,262,266,172,184,349,357,116,120,223,229,161,165,216,220,220,229,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO17,262,266,166,180,357,357,114,116,223,226,165,165,216,216,217,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO18,266,266,176,186,347,357,120,120,223,226,161,165,216,220,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO19,262,262,166,186,347,357,116,120,223,232,165,165,216,216,220,220,249,249
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO20,262,266,166,174,357,357,114,120,229,232,163,165,216,216,220,220,0,0
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO21,258,270,172,184,347,349,120,120,226,226,165,165,216,216,220,220,239,249
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO22,262,270,166,174,347,357,120,120,223,223,165,179,216,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO23,262,266,172,174,347,349,114,116,226,229,161,165,202,216,217,220,249,249
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO24,262,262,172,182,347,357,114,120,223,226,165,165,214,216,217,220,249,249
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO25,262,266,168,178,347,357,116,120,229,232,165,165,202,220,220,220,249,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO26,262,262,170,176,357,357,116,116,223,232,165,165,216,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO28,262,266,166,184,347,357,114,120,229,232,165,165,216,216,220,220,251,251
,Olonne sur Mer,,FR,589624.789,5157690.461,,,,,,,OLO29,262,266,166,172,357,357,116,120,223,226,165,177,216,216,220,220,249,253
,Petrocq,Landas,FR,636192.032,4880473.271,,Landas,FR,636192.032,4880473.271,,PET1,262,266,0,0,349,357,120,120,223,223,163,165,216,220,0,0,0,0
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET2,266,266,0,0,347,349,120,120,223,229,165,165,202,202,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET3,266,270,0,0,347,357,114,114,223,226,165,165,216,216,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET4,262,266,0,0,347,349,116,120,226,232,165,165,216,222,220,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET5,266,266,0,0,349,349,116,116,229,229,165,165,216,216,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET6,262,262,0,0,347,347,116,120,229,232,165,167,216,220,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET7,262,266,0,0,357,357,116,116,226,229,165,165,216,216,220,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET8,262,266,0,0,347,357,114,120,226,229,165,167,202,220,220,220,251,257
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET9,262,266,0,0,349,357,114,116,226,229,165,165,202,220,217,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET10,266,266,0,0,347,347,116,120,0,0,165,167,216,220,220,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET11,260,266,0,0,347,357,116,116,229,232,165,165,220,220,220,220,251,253
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET12,262,270,0,0,349,357,116,120,226,232,165,165,202,216,220,220,251,253
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET13,270,270,0,0,349,357,116,120,226,232,165,165,202,216,217,220,0,0
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET14,266,270,0,0,347,349,116,120,229,229,165,165,216,216,220,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET15,0,0,0,0,0,0,120,120,229,232,165,165,216,216,220,220,247,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET16,266,272,0,0,347,357,114,120,223,223,165,165,216,216,0,0,0,0
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET17,262,266,0,0,357,357,116,120,223,226,163,165,0,0,217,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET18,266,266,0,0,347,357,116,120,223,229,0,0,216,216,0,0,0,0
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET20,266,266,0,0,347,349,116,120,223,229,165,165,216,216,220,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET21,262,262,0,0,347,349,116,120,223,229,165,165,216,216,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET22,262,266,0,0,357,357,116,116,229,229,165,165,216,216,217,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET23,266,266,0,0,349,349,120,120,226,229,165,165,216,220,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET24,0,0,0,0,347,349,116,120,229,232,165,177,216,216,217,220,251,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET26,262,262,0,0,347,357,120,120,226,226,165,165,214,216,217,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET27,266,266,0,0,0,0,120,120,223,223,165,165,216,216,220,220,249,251
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET28,262,266,0,0,349,357,116,120,226,229,165,165,220,220,220,220,249,249
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET29,266,270,0,0,349,357,116,116,229,232,165,165,202,216,220,220,249,249
,Petrocq,Landas,FR,636192.032,4880473.271,,,,,,,PET30,262,266,0,0,347,357,116,116,229,232,165,165,202,202,220,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,80,,FR,549168.475,5292283.645,80,PLE1,262,266,166,174,349,357,116,120,226,232,163,175,202,216,0,0,0,0
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE5,270,270,172,172,349,357,116,120,226,229,165,165,202,216,217,220,253,253
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE6,262,262,170,186,347,357,116,120,223,232,165,165,202,216,220,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE7,262,270,166,166,349,357,116,120,223,232,165,179,216,220,217,220,249,253
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE8,262,262,166,172,349,357,116,116,229,232,165,167,0,0,220,220,249,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE9,262,266,172,184,357,357,120,120,226,226,163,165,0,0,220,220,251,253
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE10,266,266,166,184,357,357,116,116,226,229,0,0,0,0,220,220,0,0
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE11,262,266,166,166,347,349,120,120,223,232,161,165,216,216,220,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE12,262,270,166,184,0,0,120,120,0,0,0,0,214,214,220,220,0,0
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE15,262,262,176,176,349,357,116,120,226,229,163,165,216,216,217,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE16,262,266,176,176,347,347,116,120,232,232,163,165,202,216,220,220,251,257
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE19,0,0,0,0,349,357,116,120,226,232,163,165,214,216,220,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE21,266,266,166,174,349,357,116,122,226,229,165,165,216,216,220,220,249,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE22,262,262,166,172,347,347,116,116,229,229,163,165,202,216,217,220,251,251
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE23,266,266,166,176,347,357,114,120,226,232,163,165,216,216,220,229,0,0
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE24,262,270,166,188,357,357,120,120,226,232,165,165,220,220,220,220,249,249
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE26,0,0,0,0,349,357,114,120,223,223,163,165,0,0,220,220,249,249
,Pleucadec,,FR,549168.475,5292283.645,,,,,,,PLE27,258,266,172,172,349,357,116,120,226,229,165,165,202,202,220,220,251,251
