block,temperature,carapace width,claw width,toadfish cue treatment,activity level,prey,eaten
21,30.55555556,20.3,4.3,No,0.433333333,2,1
25,31.11111111,20.7,3.6,No,0.066666667,2,0
20,30,21,4,Yes,0,2,0
26,28.88888889,21,4.2,Yes,0.066666667,2,1
31,31.11111111,21.1,4.3,No,0,2,0
26,28.88888889,21.3,4.4,No,0.133333333,2,2
22,28.88888889,21.8,4.5,Yes,0,2,0
21,30.55555556,22,4.7,Yes,0.133333333,2,2
18,32.22222222,22.3,4.9,Yes,0,2,1
28,31.66666667,22.3,5,No,0.133333333,2,2
20,30,22.7,4.6,No,0.466666667,2,2
13,26.66666667,22.7,5,Yes,0.1,2,2
19,33.33333333,23.2,4.9,No,0.133333333,2,0
27,31.11111111,23.7,4.8,Yes,0.233333333,2,2
33,33.33333333,23.8,5.1,No,0.266666667,2,0
30,28.88888889,24,5.3,Yes,0,2,1
18,32.22222222,24,5.3,No,0.466666667,2,2
15,26.66666667,25.2,5.6,No,0.266666667,2,2
4,23.33333333,25.2,6.6,No,0.166666667,2,2
24,30.55555556,25.4,5.9,No,0.2,2,2
24,30.55555556,25.5,6.2,Yes,0.033333333,2,2
7,28.33333333,25.6,6,No,0.233333333,2,1
9,25.55555556,25.7,5.9,No,0.517241379,2,1
17,30.55555556,26,6,Yes,0.7,2,1
6,27.77777778,26.3,6.3,Yes,0.4,2,1
12,26.11111111,26.4,6.8,Yes,0.4,2,2
22,28.88888889,26.5,5.8,No,0.7,2,1
6,27.77777778,26.6,6.1,No,0.333333333,2,2
11,25.55555556,26.8,6,No,0.133333333,2,2
10,25.55555556,26.8,6.5,No,0.233333333,2,2
25,31.11111111,26.9,6.2,Yes,0.566666667,2,2
4,23.33333333,26.9,6.4,Yes,0.633333333,2,0
1,25.55555556,27,6.5,No,0.5,2,2
7,28.33333333,27.1,6.4,Yes,0.2,2,1
23,30,27.1,7.1,Yes,0.366666667,2,2
8,26.66666667,27.2,5.7,No,0.633333333,2,2
29,31.11111111,27.3,6.1,No,0.033333333,2,2
3,25.55555556,27.3,6.6,No,0.166666667,2,2
33,33.33333333,27.3,6.8,Yes,0.1,2,1
13,26.66666667,27.5,6.9,No,0.3,2,2
8,26.66666667,27.6,6.3,Yes,0.433333333,2,2
10,25.55555556,27.9,6.4,Yes,0.466666667,2,2
11,25.55555556,28.4,6.7,Yes,0.366666667,2,1
16,30,28.7,7.3,Yes,0.733333333,2,2
28,31.66666667,29.2,6.7,Yes,0.6,2,1
5,23.33333333,29.2,7.6,No,0.333333333,2,2
14,26.11111111,29.6,7.5,Yes,0.5,2,0
12,26.11111111,29.8,7.2,No,0.666666667,2,2
5,23.33333333,30,8.2,Yes,0.333333333,2,2
15,26.66666667,30.3,8.2,Yes,0.733333333,2,2
16,30,30.5,7.7,No,0.866666667,2,2
32,30,31.4,8.4,Yes,0.866666667,2,1
30,28.88888889,32.4,8,No,0.692307692,2,0
31,31.11111111,19.1,3.8,No,0,4,0
23,30,19.1,4.1,Yes,0,4,1
16,30,20.6,4.5,Yes,0.2,4,0
17,30.55555556,21,4.7,No,0.2,4,1
13,26.66666667,21,4.8,Yes,0.066666667,4,0
26,28.88888889,21.1,4.1,Yes,0.2,4,1
16,30,21.1,4.7,No,0.333333333,4,4
24,30.55555556,21.2,4.3,Yes,0.033333333,4,1
12,26.11111111,21.4,4.9,No,0.433333333,4,3
32,30,21.5,4.3,Yes,0.066666667,4,3
21,30.55555556,21.5,4.4,No,0.366666667,4,4
20,30,21.5,4.5,Yes,0.033333333,4,4
25,31.11111111,21.6,4.5,No,0.6,4,2
33,33.33333333,21.7,4.8,Yes,0.033333333,4,3
21,30.55555556,21.8,5,Yes,0.133333333,4,3
30,28.88888889,22,4.3,Yes,0,4,0
29,31.11111111,22,4.6,No,0.3,4,4
24,30.55555556,22.1,4.4,No,0.366666667,4,4
27,31.11111111,22.5,4.8,No,0.333333333,4,4
18,32.22222222,22.7,4.9,Yes,0,4,4
19,33.33333333,22.7,4.9,No,0.133333333,4,4
30,28.88888889,23,3.5,No,0.466666667,4,0
19,33.33333333,23.3,5.1,Yes,0.4,4,4
33,33.33333333,23.3,5.3,No,0.1,4,4
22,28.88888889,23.7,5.5,No,0.133333333,4,4
23,30,24.2,5.3,No,0.1,4,4
18,32.22222222,24.3,5,No,0.066666667,4,3
6,27.77777778,24.3,6,Yes,0.133333333,4,3
14,26.11111111,25,5.3,Yes,0,4,4
20,30,25.3,5.5,No,0.3,4,4
10,25.55555556,25.5,6.3,No,0.733333333,4,2
11,25.55555556,26.4,6.1,Yes,0.7,4,4
26,28.88888889,26.9,6.2,No,0.533333333,4,0
27,31.11111111,26.9,6.4,Yes,0.3,4,4
22,28.88888889,27.1,6.1,Yes,0.4,4,2
7,28.33333333,27.1,6.4,No,0.266666667,4,0
12,26.11111111,27.2,6.1,Yes,0.533333333,4,3
4,23.33333333,27.2,6.3,No,0.533333333,4,1
15,26.66666667,27.2,6.9,No,0.6,4,4
32,30,27.6,6,No,0.3,4,4
9,25.55555556,28,6.2,No,0.482758621,4,4
3,25.55555556,28,6.7,No,0,4,0
13,26.66666667,28,7.2,No,0.066666667,4,0
7,28.33333333,28.1,6.2,Yes,0.366666667,4,4
25,31.11111111,28.1,6.9,Yes,0.566666667,4,2
28,31.66666667,28.2,6.6,No,0.533333333,4,4
1,25.55555556,28.3,6.5,No,0.2,4,4
11,25.55555556,28.4,6.7,No,0.466666667,4,4
10,25.55555556,28.4,7.3,Yes,0.666666667,4,2
6,27.77777778,28.6,6.2,No,0.633333333,4,4
28,31.66666667,28.8,6.9,Yes,0.1,4,3
5,23.33333333,28.9,7.7,No,0.6,4,4
8,26.66666667,29,7.1,Yes,0.2,4,1
4,23.33333333,29,7.1,Yes,0.766666667,4,0
2,23.33333333,29.1,6.7,No,0.166666667,4,4
31,31.11111111,29.4,5.3,Yes,0.473684211,4,3
5,23.33333333,29.8,7.9,Yes,0.5,4,2
8,26.66666667,30,6.5,No,0.8,4,1
15,26.66666667,30.9,8.2,Yes,0.766666667,4,4
25,31.11111111,19.6,4.1,Yes,0.033333333,6,4
12,26.11111111,20.4,4.5,Yes,0.2,6,2
21,30.55555556,20.5,4,No,0.1,6,5
31,31.11111111,20.6,4,Yes,0.033333333,6,1
13,26.66666667,21,4.6,No,0,6,0
21,30.55555556,21.2,4,Yes,0.1,6,6
20,30,21.6,4.8,No,0.566666667,6,3
30,28.88888889,21.7,4.4,No,0.366666667,6,1
18,32.22222222,21.8,4.4,No,0.166666667,6,6
25,31.11111111,22,4,No,0.6,6,3
28,31.66666667,22.2,4.9,Yes,0,6,3
20,30,22.3,4.9,Yes,0.033333333,6,4
19,33.33333333,22.4,5.1,No,0.1,6,6
26,28.88888889,22.5,4.7,No,0.533333333,6,3
33,33.33333333,22.6,4.4,Yes,0,6,2
18,32.22222222,22.7,5.3,Yes,0,6,4
17,30.55555556,23,4.6,No,0.366666667,6,6
15,26.66666667,23,4.9,Yes,0.166666667,6,2
22,28.88888889,23.6,5.1,Yes,0.1,6,3
14,26.11111111,23.7,5.2,Yes,0.166666667,6,5
15,26.66666667,24.2,5.5,No,0.433333333,6,2
19,33.33333333,24.3,5.3,Yes,0.066666667,6,1
24,30.55555556,24.8,5.9,Yes,0.433333333,6,5
22,28.88888889,24.9,5.5,No,0.466666667,6,3
29,31.11111111,25,5.7,No,0.033333333,6,6
27,31.11111111,25.7,5.6,Yes,0.133333333,6,4
5,23.33333333,25.9,6.2,Yes,0.033333333,6,0
2,23.33333333,26,7,No,0.433333333,6,6
10,25.55555556,26.1,6,Yes,0.5,6,4
32,30,26.3,6.1,Yes,0.3,6,1
1,25.55555556,26.4,5,No,0.333333333,6,6
10,25.55555556,26.6,6,No,0.7,6,5
5,23.33333333,26.6,6.7,No,0.066666667,6,4
12,26.11111111,27.2,6.8,No,0.633333333,6,1
11,25.55555556,27.3,6,No,0.666666667,6,3
4,23.33333333,27.4,6.5,Yes,0.366666667,6,1
23,30,27.6,6.7,Yes,0.1,6,6
28,31.66666667,27.7,6.5,No,0.733333333,6,6
7,28.33333333,28.1,6.4,No,0.433333333,6,3
24,30.55555556,28.3,6.4,No,0.8,6,6
4,23.33333333,28.3,6.6,No,0.5,6,0
13,26.66666667,28.4,6.6,Yes,0.333333333,6,6
26,28.88888889,29,6.3,Yes,0.5,6,3
8,26.66666667,29,6.5,No,0.466666667,6,6
30,28.88888889,29.2,7.5,Yes,0.133333333,6,5
9,25.55555556,29.2,7.5,No,0.517241379,6,6
6,27.77777778,29.2,8,No,0.666666667,6,5
6,27.77777778,29.6,7.5,Yes,0.433333333,6,1
16,30,29.8,7.3,No,0.566666667,6,5
3,25.55555556,30,7.4,No,0.833333333,6,3
11,25.55555556,30.1,7.6,Yes,0.5,6,4
7,28.33333333,30.2,7.1,Yes,0.233333333,6,1
32,30,30.7,7.3,No,0.833333333,6,6
16,30,31.2,8,Yes,0.733333333,6,3
23,30,19.8,4,Yes,0.166666667,8,3
26,28.88888889,20.4,4.3,No,0,8,1
30,28.88888889,20.6,4.4,No,0.307692308,8,2
20,30,20.8,4.1,Yes,0.2,8,5
22,28.88888889,21,4.4,Yes,0,8,1
32,30,21.7,5,Yes,0.066666667,8,3
17,30.55555556,21.8,4.6,Yes,0.133333333,8,0
24,30.55555556,22,4.4,No,0.1,8,7
21,30.55555556,22.1,4.5,Yes,0.033333333,8,7
28,31.66666667,22.1,4.8,No,0.4,8,6
23,30,22.3,5,No,0.3,8,7
16,30,22.4,4.9,No,0.466666667,8,7
15,26.66666667,22.5,4.5,No,0.533333333,8,8
18,32.22222222,22.5,5,No,0.066666667,8,7
13,26.66666667,22.6,5,No,0.466666667,8,0
27,31.11111111,23,4.7,No,0.233333333,8,6
14,26.11111111,23.1,4.9,Yes,0.033333333,8,4
20,30,23.4,5.1,No,0.4,8,7
27,31.11111111,23.5,4.6,Yes,0,8,0
8,26.66666667,23.8,5,No,0.233333333,8,5
26,28.88888889,23.8,5.6,Yes,0.166666667,8,3
19,33.33333333,24.2,5.2,Yes,0.266666667,8,4
16,30,24.9,5.8,Yes,0.566666667,8,0
25,31.11111111,24.9,5.8,Yes,0.6,8,4
24,30.55555556,25.7,6,Yes,0.733333333,8,5
2,23.33333333,25.8,6.1,No,0.533333333,8,6
30,28.88888889,26.3,6.4,Yes,0.133333333,8,3
15,26.66666667,26.4,6.1,Yes,0.033333333,8,7
17,30.55555556,26.5,6.1,No,0.833333333,8,8
32,30,26.7,6,No,0.4,8,6
31,31.11111111,27,6.2,Yes,0,8,0
7,28.33333333,27,6.4,No,0.233333333,8,6
28,31.66666667,27.2,6.3,Yes,0.033333333,8,5
1,25.55555556,28,6.1,No,0.7,8,8
4,23.33333333,28.1,7,No,0.366666667,8,4
6,27.77777778,28.2,6.9,No,0.3,8,7
10,25.55555556,28.4,6.3,No,0.7,8,7
8,26.66666667,28.4,6.9,Yes,0.533333333,8,7
6,27.77777778,28.5,6.1,Yes,0.033333333,8,4
10,25.55555556,28.5,7.1,Yes,0.033333333,8,8
33,33.33333333,28.5,7.3,No,0.466666667,8,6
11,25.55555556,28.7,6.7,No,0.5,8,1
7,28.33333333,28.8,6.8,Yes,0,8,8
22,28.88888889,29.1,6.4,No,0.766666667,8,3
12,26.11111111,29.1,7,No,0.866666667,8,4
33,33.33333333,29.2,5.1,Yes,0.366666667,8,6
4,23.33333333,29.2,6.3,Yes,0.4,8,2
3,25.55555556,29.3,7.3,No,0.566666667,8,8
9,25.55555556,29.4,7.3,No,0.733333333,8,8
5,23.33333333,29.8,7.8,Yes,0.5,8,2
31,31.11111111,29.9,6.3,No,0.233333333,8,7
5,23.33333333,30,8,No,0.566666667,8,4
13,26.66666667,30.1,7.7,Yes,0.266666667,8,8
14,26.11111111,31.2,7.1,No,0.133333333,8,5
27,31.11111111,19.5,4,Yes,0,12,4
21,30.55555556,20,4,Yes,0.033333333,12,3
13,26.66666667,20,4.1,No,0.433333333,12,5
31,31.11111111,20.6,4.1,Yes,0,12,0
18,32.22222222,20.7,4.6,Yes,0,12,6
29,31.11111111,21.2,4.3,No,0,12,3
23,30,21.3,4.5,No,0.5,12,5
20,30,22,4.7,Yes,0,12,3
24,30.55555556,22.4,4.5,Yes,0.066666667,12,4
30,28.88888889,22.5,4.7,No,0.166666667,12,4
19,33.33333333,22.6,4.5,Yes,0.033333333,12,5
20,30,22.8,5.4,No,0.233333333,12,3
18,32.22222222,23,5.5,No,0.233333333,12,9
26,28.88888889,23.1,4.9,Yes,0.3,12,2
8,26.66666667,23.1,5.2,Yes,0.1,12,7
33,33.33333333,23.4,3.9,No,0.166666667,12,4
23,30,23.5,4.9,Yes,0.066666667,12,6
32,30,24,5.1,Yes,0.166666667,12,3
25,31.11111111,24.1,5.5,Yes,0.433333333,12,5
28,31.66666667,24.2,5.1,Yes,0.166666667,12,6
17,30.55555556,24.3,5.2,No,0.366666667,12,8
15,26.66666667,24.5,5.4,Yes,0.433333333,12,7
26,28.88888889,24.5,5.8,No,0.5,12,1
25,31.11111111,24.6,5.4,No,0.033333333,12,3
14,26.11111111,24.6,5.7,No,0.533333333,12,8
27,31.11111111,24.7,5.3,No,0.433333333,12,3
19,33.33333333,24.9,5.3,No,0.066666667,12,6
22,28.88888889,25,5.7,Yes,0,12,3
16,30,25.4,5.8,No,0.666666667,12,6
9,25.55555556,25.4,6.1,No,0.344827586,12,8
2,23.33333333,25.6,6.3,No,0.366666667,12,8
12,26.11111111,26,5.8,No,0.866666667,12,3
4,23.33333333,26.1,6,Yes,0.533333333,12,1
11,25.55555556,26.3,5.5,Yes,0.2,12,7
4,23.33333333,26.3,6.8,No,0.7,12,6
7,28.33333333,26.4,6,Yes,0.133333333,12,5
17,30.55555556,26.6,6.6,Yes,0.266666667,12,1
16,30,26.7,6.1,Yes,0.4,12,9
10,25.55555556,27.1,6.6,No,0.4,12,5
11,25.55555556,27.2,6.1,No,0.466666667,12,5
22,28.88888889,27.2,6.1,No,0.866666667,12,9
1,25.55555556,27.2,6.9,No,0.7,12,2
15,26.66666667,27.3,6.6,No,0.566666667,12,6
5,23.33333333,27.4,6.7,No,0.8,12,3
3,25.55555556,28,6.6,No,0.566666667,12,9
8,26.66666667,28.4,7.2,No,0.533333333,12,7
5,23.33333333,28.8,7.3,Yes,0.366666667,12,7
12,26.11111111,29.2,7,Yes,0.7,12,6
28,31.66666667,29.2,7.4,No,0.366666667,12,5
7,28.33333333,29.6,7.1,No,0.3,12,5
6,27.77777778,29.6,7.5,Yes,0.266666667,12,1
24,30.55555556,29.7,7.4,No,0.766666667,12,8
10,25.55555556,29.7,7.5,Yes,0.3,12,6
33,33.33333333,29.8,6.6,Yes,0.166666667,12,11
31,31.11111111,29.9,7.7,No,0.263157895,12,4
14,26.11111111,30.4,7.6,Yes,0.1,12,5
13,26.66666667,30.9,8,Yes,0.166666667,12,4
17,30.55555556,19.9,4.1,Yes,0,16,6
12,26.11111111,20.4,4.6,No,0.6,16,6
16,30,20.7,4.2,No,0.4,16,7
21,30.55555556,21.1,4.4,Yes,0.066666667,16,3
22,28.88888889,21.3,4.6,Yes,0.233333333,16,4
19,33.33333333,21.6,4.9,Yes,0.066666667,16,3
24,30.55555556,21.8,4.2,Yes,0.033333333,16,2
23,30,21.9,4.5,Yes,0.1,16,5
31,31.11111111,22,3.9,Yes,0,16,5
30,28.88888889,22,4.2,No,0.153846154,16,3
23,30,22.3,4.7,No,0.366666667,16,7
25,31.11111111,22.5,4.8,No,0.4,16,2
21,30.55555556,22.6,4.7,No,0.2,16,8
31,31.11111111,22.7,4.6,No,0.368421053,16,5
18,32.22222222,23.1,4.7,No,0.433333333,16,6
28,31.66666667,23.3,5.1,No,0,16,4
19,33.33333333,23.3,5.3,No,0.9,16,10
18,32.22222222,23.4,4.9,Yes,0.366666667,16,3
8,26.66666667,23.5,5.6,Yes,0.433333333,16,4
15,26.66666667,23.8,5.3,No,0.633333333,16,9
20,30,23.9,5,Yes,0.1,16,6
20,30,24.3,5.1,No,0.166666667,16,14
12,26.11111111,24.3,5.3,Yes,0.233333333,16,2
22,28.88888889,24.3,5.5,No,0.266666667,16,5
33,33.33333333,24.7,5.5,Yes,0.1,16,12
27,31.11111111,24.8,5.5,No,0.266666667,16,3
13,26.66666667,24.9,5.6,Yes,0.366666667,16,8
14,26.11111111,25.6,6.3,No,0.633333333,16,1
10,25.55555556,25.8,6.1,Yes,0.3,16,9
7,28.33333333,26.5,6.1,Yes,0.166666667,16,9
13,26.66666667,26.6,6.1,No,0.333333333,16,10
29,31.11111111,26.6,6.3,No,0.566666667,16,9
17,30.55555556,26.7,6.7,No,0.2,16,5
6,27.77777778,26.8,5.9,Yes,0.433333333,16,3
4,23.33333333,26.8,6.4,Yes,0.666666667,16,0
11,25.55555556,27,6.2,No,0.733333333,16,10
5,23.33333333,27.4,6.4,Yes,0.433333333,16,4
2,23.33333333,27.6,6,No,0.4,16,8
1,25.55555556,27.6,6.2,No,0.3,16,6
4,23.33333333,27.7,6.2,No,0.333333333,16,6
25,31.11111111,27.8,6.6,Yes,0.433333333,16,8
6,27.77777778,27.8,6.6,No,0.5,16,9
9,25.55555556,28.3,7,No,0.5,16,14
3,25.55555556,28.3,7.1,No,0.533333333,16,5
27,31.11111111,28.4,6,Yes,0.033333333,16,13
7,28.33333333,28.4,7.4,No,0.5,16,5
16,30,28.9,6.6,Yes,0.3,16,9
10,25.55555556,29,5.4,No,0.5,16,6
26,28.88888889,29.4,7.9,No,0.7,16,0
24,30.55555556,30,7.1,No,0.766666667,16,9
5,23.33333333,30.4,7.3,No,0.266666667,16,6
15,26.66666667,30.8,7.7,Yes,0.533333333,16,10
26,28.88888889,31.2,8,Yes,0.8,16,12
32,30,31.4,6.6,Yes,0.733333333,16,13
28,31.66666667,31.7,5.8,Yes,0.633333333,16,8
30,28.88888889,31.8,8,Yes,0.384615385,16,3
23,30,20.7,4.2,No,0.133333333,24,3
27,31.11111111,21.4,4.3,Yes,0,24,3
26,28.88888889,21.5,4.5,No,0.366666667,24,10
27,31.11111111,21.6,3.7,No,0.233333333,24,3
22,28.88888889,22,4.1,Yes,0.133333333,24,3
18,32.22222222,22,5.3,No,0.2,24,10
13,26.66666667,22.2,5,No,0.066666667,24,1
17,30.55555556,22.3,5,Yes,0.4,24,8
19,33.33333333,22.4,4.6,No,0.3,24,6
22,28.88888889,22.7,4.7,No,0.166666667,24,5
20,30,22.7,4.9,Yes,0.566666667,24,5
31,31.11111111,22.8,5,No,0.210526316,24,7
19,33.33333333,23,4.4,Yes,0,24,9
18,32.22222222,23,4.7,Yes,0,24,4
20,30,23,5,No,0.233333333,24,10
28,31.66666667,23.1,5,No,0.133333333,24,7
16,30,23.5,4.6,No,0.8,24,5
8,26.66666667,23.6,5.5,Yes,0.466666667,24,8
8,26.66666667,23.9,4.8,No,0.233333333,24,5
24,30.55555556,24,5.3,No,0.4,24,7
21,30.55555556,24.1,5.7,No,0.8,24,9
29,31.11111111,24.4,5.2,No,0.3,24,14
12,26.11111111,24.4,5.5,Yes,0,24,8
14,26.11111111,24.9,5.8,Yes,0.233333333,24,6
2,23.33333333,25,5.4,No,0.6,24,5
33,33.33333333,25,5.5,Yes,0.033333333,24,13
15,26.66666667,25.2,6.1,No,0.333333333,24,11
9,25.55555556,25.3,6.2,No,0.366666667,24,13
4,23.33333333,25.6,6.1,No,0.666666667,24,5
6,27.77777778,25.8,6.6,No,0.3,24,6
30,28.88888889,25.9,5.6,No,0.5,24,1
24,30.55555556,25.9,6.1,Yes,0.2,24,12
16,30,26,6.3,Yes,0.633333333,24,10
26,28.88888889,26.1,4.7,Yes,0.6,24,10
1,25.55555556,26.1,6.1,No,0.433333333,24,8
12,26.11111111,26.3,6.3,No,0.766666667,24,9
25,31.11111111,26.4,5.8,No,0.333333333,24,7
6,27.77777778,26.4,6.1,Yes,0.366666667,24,2
33,33.33333333,26.5,5.9,No,0.633333333,24,11
17,30.55555556,26.5,6,No,0.4,24,7
7,28.33333333,26.6,6,No,0.133333333,24,10
31,31.11111111,26.6,6.4,Yes,0.157894737,24,0
32,30,26.8,6.6,Yes,0,24,4
3,25.55555556,27.2,7.1,No,0.666666667,24,11
10,25.55555556,27.4,6.1,No,0.366666667,24,9
11,25.55555556,27.5,6.2,No,0.366666667,24,11
10,25.55555556,27.6,6.6,Yes,0.5,24,9
5,23.33333333,28,7.2,Yes,0.466666667,24,2
30,28.88888889,28.5,7.3,Yes,0.076923077,24,5
4,23.33333333,28.6,6.9,Yes,0.5,24,6
14,26.11111111,28.6,7.1,No,0.366666667,24,15
15,26.66666667,28.7,6.9,Yes,0.066666667,24,12
23,30,29,7,Yes,0.133333333,24,3
32,30,29,7.3,No,0.866666667,24,6
28,31.66666667,29.8,7,Yes,0.266666667,24,10
13,26.66666667,30.3,8.1,Yes,0.633333333,24,6
23,30,20.3,4,Yes,0,36,4
33,33.33333333,20.4,4.6,Yes,0,36,8
25,31.11111111,20.6,4.5,Yes,0.066666667,36,2
31,31.11111111,20.7,3.7,Yes,0.033333333,36,1
21,30.55555556,21,3.8,No,0,36,5
18,32.22222222,21,4.4,No,0,36,9
26,28.88888889,21.1,4.3,Yes,0,36,2
16,30,21.3,4.5,Yes,0,36,0
24,30.55555556,21.3,5,Yes,0.3,36,4
31,31.11111111,21.8,3.7,No,0,36,2
12,26.11111111,21.8,4.5,No,0.2,36,4
17,30.55555556,21.8,4.9,Yes,0.333333333,36,11
13,26.66666667,21.8,5,Yes,0,36,4
29,31.11111111,22,4.4,No,0.1,36,6
12,26.11111111,22,4.7,Yes,0.033333333,36,6
20,30,22.1,4.7,No,0.333333333,36,11
32,30,22.4,4.6,No,0.333333333,36,10
19,33.33333333,22.9,5.4,No,0.2,36,11
15,26.66666667,23,5.2,No,0.433333333,36,5
18,32.22222222,23.1,4.7,Yes,0.2,36,1
24,30.55555556,23.4,5.5,No,0.666666667,36,9
19,33.33333333,23.5,5,Yes,0,36,7
21,30.55555556,23.5,5.6,Yes,0.033333333,36,8
22,28.88888889,23.6,5.1,Yes,0.666666667,36,6
27,31.11111111,23.9,5,Yes,0.066666667,36,5
25,31.11111111,24.5,5,No,0.466666667,36,5
33,33.33333333,25,4.4,No,0,36,3
6,27.77777778,25.3,5.7,Yes,0.1,36,4
11,25.55555556,25.5,6.1,No,0.566666667,36,9
9,25.55555556,25.7,5.8,No,0.5,36,6
30,28.88888889,25.9,5.6,Yes,0,36,3
27,31.11111111,26,5.4,No,0.266666667,36,12
16,30,26,5.9,No,0.6,36,14
8,26.66666667,26.1,6,No,0.2,36,10
13,26.66666667,26.2,5.8,No,0,36,3
10,25.55555556,26.6,6.1,Yes,0.7,36,1
5,23.33333333,26.6,6.7,No,0.4,36,6
26,28.88888889,26.7,5.9,No,0.833333333,36,10
28,31.66666667,26.8,6.3,Yes,0.1,36,13
23,30,26.9,5.8,No,0.5,36,11
14,26.11111111,26.9,6.3,Yes,0.333333333,36,12
22,28.88888889,27,6.3,No,0.4,36,10
3,25.55555556,27.1,7,No,0.366666667,36,1
7,28.33333333,27.2,6.3,Yes,0.4,36,8
4,23.33333333,27.4,6.3,No,0.466666667,36,6
28,31.66666667,27.6,6.5,No,0.6,36,10
5,23.33333333,27.9,7,Yes,0.666666667,36,3
10,25.55555556,28.1,6.9,No,0.1,36,3
1,25.55555556,28.3,6.5,No,0.466666667,36,7
8,26.66666667,28.8,6.6,Yes,0.333333333,36,4
30,28.88888889,29.4,7.5,No,0,36,9
4,23.33333333,29.7,7.1,Yes,0.8,36,3
6,27.77777778,29.7,7.4,No,0.9,36,3
17,30.55555556,29.8,7.2,No,0,36,7
14,26.11111111,30,7.7,No,0.466666667,36,3
7,28.33333333,30.5,7.6,No,0.9,36,2
15,26.66666667,30.7,8.2,Yes,0.733333333,36,16
32,30,33.1,6.2,Yes,0.6,36,14
