ID,Date,Site,Area,Object,Alert distance (AD),Flight initiation distance (FID)
1,10/5/2016,MIDORIGAOKA,URBAN,FOX,27,14.3
2,10/5/2016,MIDORIGAOKA,URBAN,HUMAN,NA,2.9
3,10/5/2016,MIDORIGAOKA,URBAN,FOX,NA,18.8
4,10/5/2016,MIDORIGAOKA,URBAN,FOX,13,7.4
5,10/5/2016,IKIGAI,RURAL,FOX,NA,14
6,10/5/2016,IKIGAI,RURAL,HUMAN,20,6.4
7,10/5/2016,AKENOGAOKA,RURAL,FOX,31,18.9
8,10/5/2016,AKENOGAOKA,RURAL,HUMAN,NA,22
9,10/5/2016,AKENOGAOKA,RURAL,HUMAN,23.7,17
10,10/5/2016,ODORI,URBAN,HUMAN,NA,4.8
11,10/6/2016,NISHIOBIHIRO,URBAN,NOVEL,NA,23.5
12,10/6/2016,NISHIOBIHIRO,URBAN,FOX,NA,7.4
13,10/6/2016,NISHIOBIHIRO,URBAN,HUMAN,NA,4.7
14,10/6/2016,NISHIOBIHIRO,URBAN,NOVEL,NA,7.1
15,10/6/2016,NISHIOBIHIRO,URBAN,FOX,NA,5.5
16,10/6/2016,NISHIOBIHIRO,URBAN,FOX,NA,4.5
17,10/6/2016,CHUO,URBAN,HUMAN,NA,1.5
18,10/6/2016,CHUO,URBAN,FOX,16.2,11
19,10/6/2016,KIYOKAWA,RURAL,HUMAN,NA,12
20,10/6/2016,HEISEI,RURAL,HUMAN,NA,29
21,10/7/2016,MIDORIGAOKA,URBAN,HUMAN,15,10.6
22,10/7/2016,MIDORIGAOKA,URBAN,FOX,12,7.3
23,10/7/2016,MIDORIGAOKA,URBAN,FOX,14,11.6
24,10/7/2016,MIDORIGAOKA,URBAN,NOVEL,17,4.9
25,10/7/2016,MIDORIGAOKA,URBAN,HUMAN,NA,3.3
26,10/7/2016,MIDORIGAOKA,URBAN,FOX,13,2
27,10/7/2016,MIDORIGAOKA,URBAN,NOVEL,NA,5
28,10/7/2016,MIDORIGAOKA,URBAN,NOVEL,NA,3.4
29,10/7/2016,MIDORIGAOKA,URBAN,FOX,13,11.9
30,10/7/2016,MIDORIGAOKA,URBAN,HUMAN,22,2.4
31,10/7/2016,MIDORIGAOKA,URBAN,HUMAN,7.5,2.1
32,10/7/2016,MIDORIGAOKA,URBAN,HUMAN,22,14.2
33,10/7/2016,HEISEI,RURAL,NOVEL,16.6,11.6
34,10/7/2016,HEISEI,RURAL,HUMAN,32.4,23
35,10/7/2016,HEISEI,RURAL,FOX,NA,22.9
36,10/7/2016,HEISEI,RURAL,FOX,NA,28.1
37,10/8/2016,HEISEI,RURAL,NOVEL,39,11.5
38,10/8/2016,HEISEI,RURAL,FOX,26,18.1
39,10/8/2016,HEISEI,RURAL,FOX,25,18.2
40,10/8/2016,HEISEI,RURAL,HUMAN,NA,33
41,10/8/2016,HEISEI,RURAL,FOX,27,17
42,10/8/2016,HEISEI,RURAL,HUMAN,30,16.8
43,10/8/2016,KIYOKAWA,RURAL,NOVEL,17,14
44,10/8/2016,KIYOKAWA,RURAL,HUMAN,NA,20
45,10/8/2016,KIYOKAWA,RURAL,NOVEL,NA,12.8
46,10/8/2016,KIYOKAWA,RURAL,NOVEL,11.8,7.8
47,10/8/2016,KIYOKAWA,RURAL,HUMAN,22,6.1
48,10/8/2016,FUJI,RURAL,HUMAN,20.1,20.1
49,10/8/2016,FUJI,RURAL,HUMAN,NA,17.2
50,10/9/2016,MIDORIGAOKA,URBAN,NOVEL,16,8.3
51,10/9/2016,MIDORIGAOKA,URBAN,HUMAN,24,3
52,10/9/2016,MIDORIGAOKA,URBAN,FOX,18,15
53,10/9/2016,MIDORIGAOKA,URBAN,NOVEL,23,4.2
54,10/9/2016,MIDORIGAOKA,URBAN,HUMAN,22,6
55,10/9/2016,SHIRAKABA,URBAN,HUMAN,19,5.3
56,10/9/2016,CHUO,URBAN,FOX,18.7,11.4
57,10/9/2016,CHUO,URBAN,NOVEL,17.3,8
58,10/9/2016,AKENOGAOKA,RURAL,NOVEL,40,27
59,10/9/2016,AKENOGAOKA,RURAL,NOVEL,40,29
60,10/9/2016,IKIGAI,RURAL,HUMAN,NA,9.3
61,10/9/2016,IKIGAI,RURAL,FOX,23.1,16.1
62,10/9/2016,SUZURAN,URBAN,HUMAN,20,2
63,10/9/2016,SUZURAN,URBAN,FOX,NA,6.1
64,10/9/2016,SUZURAN,URBAN,NOVEL,13.5,13.5
65,10/9/2016,SUZURAN,URBAN,HUMAN,12.5,3.8
66,10/11/2016,HEISEI,RURAL,HUMAN,NA,32
67,10/11/2016,HEISEI,RURAL,NOVEL,NA,11.6
68,10/11/2016,HEISEI,RURAL,FOX,45,37
69,10/11/2016,HEISEI,RURAL,FOX,45,37
70,10/11/2016,HEISEI,RURAL,HUMAN,9.3,5
71,10/11/2016,HEISEI,RURAL,NOVEL,15,11.6
72,10/11/2016,HEISEI,RURAL,FOX,24,6.2
73,10/11/2016,AKENOGAOKA,RURAL,FOX,32,15.3
74,10/11/2016,AKENOGAOKA,RURAL,FOX,26,22
75,10/11/2016,AKENOGAOKA,RURAL,FOX,NA,30
76,10/15/2016,MIDORIGAOKA,URBAN,NOVEL,NA,13.6
77,10/15/2016,MIDORIGAOKA,URBAN,NOVEL,31,21.2
78,10/15/2016,MIDORIGAOKA,URBAN,HUMAN,21,1.2
79,10/15/2016,MIDORIGAOKA,URBAN,NOVEL,13,9.5
80,10/15/2016,MIDORIGAOKA,URBAN,FOX,9.2,9.2
81,10/15/2016,MIDORIGAOKA,URBAN,HUMAN,9.8,1.4
82,10/15/2016,MIDORIGAOKA,URBAN,FOX,NA,12.5
83,10/15/2016,MIDORIGAOKA,URBAN,NOVEL,NA,11.6
84,10/15/2016,HEISEI,RURAL,NOVEL,17.3,16
85,10/15/2016,HEISEI,RURAL,HUMAN,22.7,20
86,10/15/2016,HEISEI,RURAL,HUMAN,22,7.3
87,10/15/2016,HEISEI,RURAL,FOX,NA,26
88,10/15/2016,HEISEI,RURAL,FOX,44,13
89,10/15/2016,HEISEI,RURAL,HUMAN,38,20
90,10/15/2016,HEISEI,RURAL,FOX,NA,18
91,10/15/2016,HEISEI,RURAL,HUMAN,23.7,15.3
92,10/15/2016,HEISEI,RURAL,NOVEL,NA,26.5
93,10/15/2016,KIYOKAWA,RURAL,NOVEL,NA,19
94,10/15/2016,KIYOKAWA,RURAL,HUMAN,23,7.2
95,10/16/2016,NISHIOBIHIRO,URBAN,FOX,23,11
96,10/16/2016,NISHIOBIHIRO,URBAN,FOX,NA,11.3
97,10/16/2016,NISHIOBIHIRO,URBAN,FOX,NA,8.5
98,10/16/2016,NISHIOBIHIRO,URBAN,NOVEL,NA,16.4
99,10/16/2016,NISHIOBIHIRO,URBAN,HUMAN,12.3,2.6
100,10/16/2016,NISHIOBIHIRO,URBAN,HUMAN,NA,4.6
101,10/16/2016,NISHIOBIHIRO,URBAN,FOX,21.6,6
102,10/16/2016,NISHIOBIHIRO,URBAN,HUMAN,22,8.7
103,10/16/2016,NISHIOBIHIRO,URBAN,FOX,16,10.2
104,10/16/2016,CHUO,URBAN,FOX,27,12
105,10/16/2016,CHUO,URBAN,NOVEL,NA,18
106,10/16/2016,CHUO,URBAN,FOX,34,5.8
107,10/16/2016,SUZURAN,URBAN,NOVEL,22,2.9
108,10/16/2016,SUZURAN,URBAN,HUMAN,35,1.8
109,10/16/2016,SUZURAN,URBAN,FOX,17.3,11.5
110,10/16/2016,SUZURAN,URBAN,NOVEL,NA,18
111,10/16/2016,SHIRAKABA,URBAN,HUMAN,NA,2.6
112,10/16/2016,ODORI,URBAN,NOVEL,20.9,16.6
113,10/16/2016,CHUO,URBAN,NOVEL,NA,26
114,10/16/2016,CHUO,URBAN,NOVEL,NA,28
115,10/16/2016,CHUO,URBAN,HUMAN,30,12.2
116,10/16/2016,CHUO,URBAN,FOX,34,24
117,10/16/2016,CHUO,URBAN,NOVEL,NA,21.4
118,10/20/2016,AKENOGAOKA,RURAL,HUMAN,NA,21.7
119,10/20/2016,AKENOGAOKA,RURAL,HUMAN,NA,20
120,10/20/2016,AKENOGAOKA,RURAL,NOVEL,NA,27
121,10/21/2016,HEISEI,RURAL,HUMAN,29.4,24.8
122,10/21/2016,HEISEI,RURAL,NOVEL,NA,19
123,10/21/2016,HEISEI,RURAL,FOX,35,22
124,10/22/2016,HEISEI,RURAL,NOVEL,42,25
125,10/22/2016,HEISEI,RURAL,FOX,22.8,18.7
126,10/22/2016,HEISEI,RURAL,HUMAN,35,19.4
127,10/22/2016,HEISEI,RURAL,HUMAN,NA,37
128,10/24/2016,SUZURAN,URBAN,FOX,33,20
129,10/24/2016,SUZURAN,URBAN,NOVEL,18.2,5.6
130,10/24/2016,SUZURAN,URBAN,HUMAN,24,2.3
131,10/24/2016,SUZURAN,URBAN,NOVEL,NA,7.8
132,10/24/2016,SUZURAN,URBAN,FOX,NA,21.7
133,10/24/2016,SUZURAN,URBAN,FOX,NA,15.7
134,10/24/2016,SUZURAN,URBAN,NOVEL,NA,7.2
135,10/24/2016,SUZURAN,URBAN,HUMAN,17,3
136,10/24/2016,SUZURAN,URBAN,NOVEL,31,16
137,10/24/2016,SUZURAN,URBAN,FOX,18,7.3
